BUS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
24;0,611;0,52;0,541;0,425;0,44;0,423;0,636;1,017;1,252;1,423;1,214;1,309;1,449;1,366;1,237;1,175;1,19;1,511;1,19;1,066;1,133;1,187;0,958;0,727
25;0,728;0,713;0,468;0,461;0,478;0,614;0,885;1,225;1,03;1,15;1,188;1,14;1,4;1,018;0,964;1,114;1,205;1,232;1,245;1,047;1,449;1,283;1,17;0,791
26;0,858;0,82;0,819;0,679;0,665;0,696;0,852;1,189;0,96;0,862;1,02;1,147;1,069;1,039;0,876;0,899;0,931;1,355;1,178;1,076;1,293;1,501;1,273;0,942
27;0,707;0,629;0,648;0,546;0,509;0,629;0,879;1,256;1,018;0,928;0,838;0,851;1,221;1,269;0,911;0,889;0,97;1,763;1,433;1,217;1,462;1,452;1,235;0,738
28;0,582;0,512;0,541;0,492;0,524;0,476;0,667;0,944;1,321;1,611;1,311;1,261;1,31;1,192;1,06;1,158;1,336;1,184;1,181;1,109;1,291;1,345;0,888;0,704
29;0,772;0,678;0,565;0,49;0,55;0,628;0,961;1,297;1,279;1,052;1,003;0,956;1,122;0,883;0,813;1,001;1,495;1,262;1,139;1,095;1,301;1,431;1,279;0,948
30;0,791;0,648;0,627;0,621;0,61;0,563;0,91;1,253;1,01;0,936;0,893;1,052;1,142;0,995;0,997;1,03;1,102;1,285;1,216;1,109;1,292;1,398;1,37;1,15
31;0,744;0,683;0,603;0,554;0,597;0,741;1,366;1,552;1,207;0,822;0,999;0,988;1,185;0,912;0,842;0,873;1,048;1,535;1,127;1,092;1,241;1,38;1,084;0,826
32;0,791;0,648;0,627;0,621;0,61;0,563;0,91;1,253;1,01;0,936;0,893;1,052;1,142;0,995;0,997;1,03;1,102;1,285;1,216;1,109;1,292;1,398;1,37;1,15
33;0,8;0,651;0,64;0,56;0,564;0,606;0,695;0,724;0,879;0,779;0,949;1,099;1,252;1,237;1,178;1,359;1,351;1,39;1,078;1,215;1,271;1,39;1,243;1,089
34;0,763;0,54;0,496;0,502;0,505;0,558;0,936;1,252;0,839;0,862;0,819;0,961;0,871;0,962;0,929;1,007;1,284;1,58;1,037;1,263;1,507;1,952;1,469;1,105
35;0,538;0,463;0,521;0,433;0,466;0,815;0,621;0,836;1,181;1,168;1,242;1,391;1,447;1,352;1,097;1,006;1,172;1,32;1,172;1,337;1,339;1,308;1,109;0,664
36;0,882;0,692;0,641;0,733;0,707;0,784;1,073;1,517;0,989;0,952;0,819;1,022;1,115;0,908;0,82;1,057;1,198;1,137;1,157;1,029;1,365;1,421;1,176;0,808
37;0,611;0,52;0,541;0,425;0,44;0,423;0,636;1,017;1,252;1,423;1,214;1,309;1,449;1,366;1,237;1,175;1,19;1,511;1,19;1,066;1,133;1,187;0,958;0,727
38;0,683;0,604;0,591;0,544;0,575;0,692;0,961;1,096;1,153;1,069;1,237;1,155;1,157;0,79;1,072;1,333;1,287;1,096;0,993;1,072;1,425;1,263;1,203;0,95
39;0,812;0,887;0,829;0,831;0,931;0,852;1,021;0,881;1,269;1,324;1,372;1,102;0,941;1,066;1,069;1,124;1,329;1,043;0,898;0,878;1,056;0,906;0,822;0,756
40;0,631;0,587;0,558;0,544;0,561;0,544;0,71;1,303;0,839;0,941;1,059;0,935;1,305;1,24;0,945;0,968;1,229;1,413;1,291;1,302;1,53;1,546;1,132;0,888
41;0,707;0,629;0,648;0,546;0,509;0,629;0,879;1,256;1,018;0,928;0,838;0,851;1,221;1,269;0,911;0,889;0,97;1,763;1,433;1,217;1,462;1,452;1,235;0,738
42;0,288;0,335;0,339;0,317;0,244;0,322;0,822;1,124;1,744;1,576;1,198;1,384;1,144;1,224;1,365;1,92;1,811;1,719;0,756;0,572;1,084;1,168;1,088;0,455
43;0,564;0,496;0,488;0,428;0,379;0,388;0,415;0,826;1,329;1,56;1,42;1,202;1,45;1,266;1,227;1,408;1,697;1,29;1,117;1,06;1,204;1,133;0,86;0,793
44;0,607;0,582;0,539;0,508;0,519;0,577;0,784;0,998;1,11;1,291;1,252;1,172;1,3;1,249;1,061;1,022;1,197;1,305;1,177;1,06;1,322;1,431;1,144;0,792
45;0,821;0,761;0,702;0,585;0,555;0,712;0,881;1,165;1,397;1,003;0,96;0,99;1,061;0,879;0,85;0,888;1,185;1,013;1,235;1,017;1,329;1,576;1,421;1,014
46;0,739;0,715;0,7;0,614;0,479;0,643;0,669;0,817;0,848;0,838;0,927;1,066;0,936;0,911;0,896;0,828;1,129;1,272;1,177;1,252;1,735;1,994;1,753;1,062
47;0,879;0,862;0,743;0,76;0,762;0,741;0,764;1,008;0,85;1,072;1,027;2,057;0,919;0,494;0,755;0,713;1,192;1,91;1,04;0,829;1,284;1,335;1,11;0,896
48;0,663;0,585;0,649;0,615;0,613;0,767;1,318;1,672;1,2;1,047;0,844;0,882;0,955;0,888;0,847;0,916;1,467;1,461;1,035;1,024;1,257;1,338;1,065;0,891
49;0,718;0,841;0,819;0,887;0,902;0,852;0,911;0,93;0,878;0,953;1,146;1,147;1,184;0,928;0,789;0,778;0,765;0,886;0,79;0,8;1,679;1,929;1,734;0,754
50;0,718;0,841;0,819;0,887;0,902;0,852;0,911;0,93;0,878;0,953;1,146;1,147;1,184;0,928;0,789;0,778;0,765;0,886;0,79;0,8;1,679;1,929;1,734;0,754
51;1,465;1,424;1,166;1,158;1,168;0,467;0,898;0,934;1,094;0,694;0,438;0,907;0,926;0,407;0,551;0,674;0,884;0,776;0,733;0,652;1,544;1,625;1,716;1,699
52;1,067;0,424;1,067;0,858;0,959;0,852;1,327;1,177;0,661;0,811;0,964;1,392;1,088;1,03;1,006;1,24;1,633;1,353;0,798;0,667;0,976;0,834;0,705;1,111
53;0,732;0,589;0,527;0,544;0,577;0,54;0,788;1,245;0,888;1,172;1,086;1,574;1,046;0,971;0,959;1,08;1,074;1,25;1,187;1,111;1,437;1,567;1,215;0,84
54;0,674;0,615;0,64;0,581;0,533;0,662;0,742;1,314;1,094;0,951;0,931;1,018;1,238;1,073;1,013;0,969;1,012;1,564;1,253;1,099;1,361;1,473;1,307;0,883
55;0,658;0,515;0,631;0,504;0,558;0,801;0,715;0,946;1,253;1,158;1,731;1,381;1,351;1,34;1,087;1,126;1,23;1,265;1,265;0,866;0,753;1,108;1,024;0,735
56;0,611;0,52;0,541;0,425;0,44;0,423;0,636;1,017;1,252;1,423;1,214;1,309;1,449;1,366;1,237;1,175;1,19;1,511;1,19;1,066;1,133;1,187;0,958;0,727
57;0,728;0,713;0,468;0,461;0,478;0,614;0,885;1,225;1,03;1,15;1,188;1,14;1,4;1,018;0,964;1,114;1,205;1,232;1,245;1,047;1,449;1,283;1,17;0,791
58;0,858;0,82;0,819;0,679;0,665;0,696;0,852;1,189;0,96;0,862;1,02;1,147;1,069;1,039;0,876;0,899;0,931;1,355;1,178;1,076;1,293;1,501;1,273;0,942
59;0,707;0,629;0,648;0,546;0,509;0,629;0,879;1,256;1,018;0,928;0,838;0,851;1,221;1,269;0,911;0,889;0,97;1,763;1,433;1,217;1,462;1,452;1,235;0,738
60;0,582;0,512;0,541;0,492;0,524;0,476;0,667;0,944;1,321;1,611;1,311;1,261;1,31;1,192;1,06;1,158;1,336;1,184;1,181;1,109;1,291;1,345;0,888;0,704
61;0,772;0,678;0,565;0,49;0,55;0,628;0,961;1,297;1,279;1,052;1,003;0,956;1,122;0,883;0,813;1,001;1,495;1,262;1,139;1,095;1,301;1,431;1,279;0,948
62;0,791;0,648;0,627;0,621;0,61;0,563;0,91;1,253;1,01;0,936;0,893;1,052;1,142;0,995;0,997;1,03;1,102;1,285;1,216;1,109;1,292;1,398;1,37;1,15
63;0,744;0,683;0,603;0,554;0,597;0,741;1,366;1,552;1,207;0,822;0,999;0,988;1,185;0,912;0,842;0,873;1,048;1,535;1,127;1,092;1,241;1,38;1,084;0,826
64;0,791;0,648;0,627;0,621;0,61;0,563;0,91;1,253;1,01;0,936;0,893;1,052;1,142;0,995;0,997;1,03;1,102;1,285;1,216;1,109;1,292;1,398;1,37;1,15
65;0,8;0,651;0,64;0,56;0,564;0,606;0,695;0,724;0,879;0,779;0,949;1,099;1,252;1,237;1,178;1,359;1,351;1,39;1,078;1,215;1,271;1,39;1,243;1,089
66;0,763;0,54;0,496;0,502;0,505;0,558;0,936;1,252;0,839;0,862;0,819;0,961;0,871;0,962;0,929;1,007;1,284;1,58;1,037;1,263;1,507;1,952;1,469;1,105
67;0,538;0,463;0,521;0,433;0,466;0,815;0,621;0,836;1,181;1,168;1,242;1,391;1,447;1,352;1,097;1,006;1,172;1,32;1,172;1,337;1,339;1,308;1,109;0,664
68;0,882;0,692;0,641;0,733;0,707;0,784;1,073;1,517;0,989;0,952;0,819;1,022;1,115;0,908;0,82;1,057;1,198;1,137;1,157;1,029;1,365;1,421;1,176;0,808
69;0,611;0,52;0,541;0,425;0,44;0,423;0,636;1,017;1,252;1,423;1,214;1,309;1,449;1,366;1,237;1,175;1,19;1,511;1,19;1,066;1,133;1,187;0,958;0,727
70;0,683;0,604;0,591;0,544;0,575;0,692;0,961;1,096;1,153;1,069;1,237;1,155;1,157;0,79;1,072;1,333;1,287;1,096;0,993;1,072;1,425;1,263;1,203;0,95
71;0,812;0,887;0,829;0,831;0,931;0,852;1,021;0,881;1,269;1,324;1,372;1,102;0,941;1,066;1,069;1,124;1,329;1,043;0,898;0,878;1,056;0,906;0,822;0,756
72;0,631;0,587;0,558;0,544;0,561;0,544;0,71;1,303;0,839;0,941;1,059;0,935;1,305;1,24;0,945;0,968;1,229;1,413;1,291;1,302;1,53;1,546;1,132;0,888
73;0,707;0,629;0,648;0,546;0,509;0,629;0,879;1,256;1,018;0,928;0,838;0,851;1,221;1,269;0,911;0,889;0,97;1,763;1,433;1,217;1,462;1,452;1,235;0,738
74;0,288;0,335;0,339;0,317;0,244;0,322;0,822;1,124;1,744;1,576;1,198;1,384;1,144;1,224;1,365;1,92;1,811;1,719;0,756;0,572;1,084;1,168;1,088;0,455
75;0,564;0,496;0,488;0,428;0,379;0,388;0,415;0,826;1,329;1,56;1,42;1,202;1,45;1,266;1,227;1,408;1,697;1,29;1,117;1,06;1,204;1,133;0,86;0,793
76;0,607;0,582;0,539;0,508;0,519;0,577;0,784;0,998;1,11;1,291;1,252;1,172;1,3;1,249;1,061;1,022;1,197;1,305;1,177;1,06;1,322;1,431;1,144;0,792
77;0,821;0,761;0,702;0,585;0,555;0,712;0,881;1,165;1,397;1,003;0,96;0,99;1,061;0,879;0,85;0,888;1,185;1,013;1,235;1,017;1,329;1,576;1,421;1,014
78;0,739;0,715;0,7;0,614;0,479;0,643;0,669;0,817;0,848;0,838;0,927;1,066;0,936;0,911;0,896;0,828;1,129;1,272;1,177;1,252;1,735;1,994;1,753;1,062
79;0,879;0,862;0,743;0,76;0,762;0,741;0,764;1,008;0,85;1,072;1,027;2,057;0,919;0,494;0,755;0,713;1,192;1,91;1,04;0,829;1,284;1,335;1,11;0,896
80;0,663;0,585;0,649;0,615;0,613;0,767;1,318;1,672;1,2;1,047;0,844;0,882;0,955;0,888;0,847;0,916;1,467;1,461;1,035;1,024;1,257;1,338;1,065;0,891
81;0,718;0,841;0,819;0,887;0,902;0,852;0,911;0,93;0,878;0,953;1,146;1,147;1,184;0,928;0,789;0,778;0,765;0,886;0,79;0,8;1,679;1,929;1,734;0,754
82;0,718;0,841;0,819;0,887;0,902;0,852;0,911;0,93;0,878;0,953;1,146;1,147;1,184;0,928;0,789;0,778;0,765;0,886;0,79;0,8;1,679;1,929;1,734;0,754
83;1,465;1,424;1,166;1,158;1,168;0,467;0,898;0,934;1,094;0,694;0,438;0,907;0,926;0,407;0,551;0,674;0,884;0,776;0,733;0,652;1,544;1,625;1,716;1,699
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
