BUSK;BUSM;R;X;G;B;BSH;PMAX;QMAX;SMAX;IMAX;ST
37;38;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
38;39;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;1
39;40;0,2096;0,4304;0,914579656;-1,878029981;0;1000000000;1000000000;1000000000;5000;1
38;41;0,1965;0,4035;0,975551633;-2,00323198;0;1000000000;1000000000;1000000000;5000;1
41;42;0,2096;0,4304;0,914579656;-1,878029981;0;1000000000;1000000000;1000000000;5000;1
84;43;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
43;44;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
44;45;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
45;46;0,2358;0,4842;0,812959695;-1,669359984;0;1000000000;1000000000;1000000000;5000;1
84;47;0,243;0,828;0,326335255;-1,111957165;0;1000000000;1000000000;1000000000;5000;1
47;48;0,0655;0,1345;2,9266549;-6,009695941;0;1000000000;1000000000;1000000000;5000;1
48;49;0,0655;0,1345;2,9266549;-6,009695941;0;1000000000;1000000000;1000000000;5000;1
49;50;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
50;51;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;1
51;52;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
52;53;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;1
53;54;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;1
54;55;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;1
84;56;0,2268;0,7728;0,349644916;-1,191382677;0;1000000000;1000000000;1000000000;5000;1
56;57;0,5371;1,1029;0,356909134;-0,732889749;0;1000000000;1000000000;1000000000;5000;1
57;58;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;1
58;59;0,0405;0,138;1,958011531;-6,671742993;0;1000000000;1000000000;1000000000;5000;1
59;60;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;1
60;61;0,0262;0,0538;7,316637251;-15,02423985;0;1000000000;1000000000;1000000000;5000;1
61;62;0,1048;0,2152;1,829159313;-3,756059963;0;1000000000;1000000000;1000000000;5000;1
62;63;0,2358;0,4842;0,812959695;-1,669359984;0;1000000000;1000000000;1000000000;5000;1
63;64;0,0243;0,0828;3,263352551;-11,11957165;0;1000000000;1000000000;1000000000;5000;1
84;65;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
65;66;0,1703;0,3497;1,1256365;-2,311421516;0;1000000000;1000000000;1000000000;5000;1
66;67;0,1215;0,414;0,65267051;-2,223914331;0;1000000000;1000000000;1000000000;5000;1
67;68;0,2187;0,7452;0,362594728;-1,235507962;0;1000000000;1000000000;1000000000;5000;1
68;69;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
69;70;0,0729;0,2484;1,087784184;-3,706523885;0;1000000000;1000000000;1000000000;5000;1
70;71;0,0567;0,1932;1,398579665;-4,765530709;0;1000000000;1000000000;1000000000;5000;1
71;72;0,0262;0,0528;7,541130824;-15,19739342;0;1000000000;1000000000;1000000000;5000;1
84;73;0,324;1,104;0,244751441;-0,833967874;0;1000000000;1000000000;1000000000;5000;1
73;74;0,0324;0,1104;2,447514413;-8,339678741;0;1000000000;1000000000;1000000000;5000;1
74;75;0,0567;0,1932;1,398579665;-4,765530709;0;1000000000;1000000000;1000000000;5000;1
75;76;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
84;77;0,2511;0,8556;0,315808311;-1,076087579;0;1000000000;1000000000;1000000000;5000;1
77;78;0,1296;0,4416;0,611878603;-2,084919685;0;1000000000;1000000000;1000000000;5000;1
78;79;0,0486;0,1656;1,631676275;-5,559785827;0;1000000000;1000000000;1000000000;5000;1
79;80;0,131;0,264;1,508226165;-3,039478683;0;1000000000;1000000000;1000000000;5000;1
80;81;0,131;0,264;1,508226165;-3,039478683;0;1000000000;1000000000;1000000000;5000;1
81;82;0,0917;0,1883;2,090467786;-4,292639958;0;1000000000;1000000000;1000000000;5000;1
82;83;0,3144;0,6456;0,609719771;-1,252019988;0;1000000000;1000000000;1000000000;5000;1
5;55;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;0
7;60;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;0
11;43;0,131;0,269;1,46332745;-3,00484797;0;1000000000;1000000000;1000000000;5000;0
12;72;0,3406;0,6994;0,56281825;-1,155710758;0;1000000000;1000000000;1000000000;5000;0
13;76;0,4585;0,9415;0,418093557;-0,858527992;0;1000000000;1000000000;1000000000;5000;0
14;18;0,5371;1,0824;0,36786004;-0,741336264;0;1000000000;1000000000;1000000000;5000;0
16;26;0,0917;0,1883;2,090467786;-4,292639958;0;1000000000;1000000000;1000000000;5000;0
20;83;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;0
28;32;0,0524;0,1076;3,658318626;-7,512119926;0;1000000000;1000000000;1000000000;5000;0
29;39;0,0786;0,1614;2,438879084;-5,008079951;0;1000000000;1000000000;1000000000;5000;0
34;46;0,0262;0,0538;7,316637251;-15,02423985;0;1000000000;1000000000;1000000000;5000;0
40;42;0,1965;0,4035;0,975551633;-2,00323198;0;1000000000;1000000000;1000000000;5000;0
53;64;0,0393;0,0807;4,877758167;-10,0161599;0;1000000000;1000000000;1000000000;5000;0
