BUS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
11;0,274;0,308;0,342;0,274;0,239;0,308;0,342;0,752;1,128;1,573;1,436;1,333;1,299;1,333;1,402;1,436;1,675;1,265;1,368;1,573;1,333;1,231;0,889;0,889
12;0,788;0,788;0,808;0,75;0,769;0,788;0,788;0,923;1,154;1,231;1,212;1,135;1,231;1,288;1,154;1,058;1,154;1,135;1,038;1,077;0,942;1,019;0,981;0,788
13;0,957;1,11;1,033;0,842;0,88;1,033;1,072;0,842;0,957;0,842;0,919;0,88;1,033;1,033;0,88;0,995;0,919;0,842;1,072;1,11;1,148;1,263;1,301;1,033
14;0,87;0,957;1;0,87;0,957;0,913;0,87;0,913;1;1;0,913;0,913;1;1;0,913;0,826;1,043;1;1,13;1,174;1,217;1,304;1,174;1,043
15;0,933;1,067;0,8;0,933;0,933;0,8;0,933;0,733;1,067;1,4;1,667;1,133;1,2;0,867;0,867;0,6;1;0,733;0,8;1,2;1,333;1,067;1,133;0,8
16;0,919;1,042;1,062;1,021;1,062;0,94;0,96;0,98;0,96;0,94;0,919;0,899;0,98;0,94;1,021;0,899;0,899;0,96;0,94;0,899;1,226;1,287;1,144;1,103
17;0,553;0,829;0,829;0,875;0,875;0,829;0,829;0,967;0,829;0,921;1,106;0,875;1,06;0,875;0,783;0,737;0,829;0,829;0,553;0,599;2,395;2,349;2,211;0,461
18;0,553;0,829;0,829;0,875;0,875;0,829;0,829;0,967;0,829;0,921;1,106;0,875;1,06;0,875;0,783;0,737;0,829;0,829;0,553;0,599;2,395;2,349;2,211;0,461
19;1,307;0,784;0,784;0,784;0,837;0,418;0,68;0,471;0,732;0,418;1,046;1,307;1,778;0,837;1,098;1,307;1,15;0,941;1,359;1,203;1,098;1,098;1,203;1,359
20;1,441;0,295;1,506;1,244;1,277;1,277;1,31;1,342;0,229;0,36;0,524;1,441;1,408;1,277;1,277;1,244;1,768;1,342;0,262;0,491;0,557;0,426;0,393;1,31
21;0,946;0,88;0,848;0,815;0,913;0,75;0,815;0,913;0,946;1,141;1,043;1,011;0,978;1,043;0,913;1,043;0,88;0,946;1,174;1,174;1,467;1,37;1,043;0,946
22;0,995;0,87;0,995;0,87;0,87;0,87;0,746;0,746;1,119;1,119;1,119;1,119;0,87;1,119;1,119;1,119;0,995;1,119;1,119;1,119;0,995;0,995;1,119;0,87
23;1,005;0,67;1,116;0,67;0,558;0,893;0,893;0,893;1,005;1,228;1,451;1,34;1,34;1,005;1,005;1,005;1,34;1,228;0,893;1,228;0,67;0,781;0,893;0,893
24;0,898;0,898;0,954;0,842;0,898;0,898;0,87;0,954;1,039;1,151;0,926;1,095;1,235;0,954;1,039;0,982;1,039;1,011;1,095;1,207;0,982;1,067;1,011;0,954
25;0,857;1,212;0,709;0,768;0,768;1,034;0,739;1,182;0,857;1,241;1,005;0,946;1,3;0,828;0,887;1,3;0,887;0,857;1,182;0,975;1,389;0,975;1,241;0,857
26;1,032;0,955;1,032;0,955;0,955;1,006;0,955;0,877;0,981;1,058;0,981;0,929;1,006;1,006;0,929;1,032;0,929;0,955;1,032;1,187;1,058;1,11;1,006;1,032
27;0,912;0,912;0,969;0,836;0,855;0,874;0,912;0,836;0,95;0,912;0,893;0,912;1,482;1,444;0,855;0,931;0,779;1,406;0,969;1,482;1,045;0,988;0,95;0,893
28;0,856;0,856;0,856;0,824;0,951;0,793;0,761;0,793;1,173;1,268;1,141;1,205;1,141;1,363;1,078;1,3;1,363;1,141;0,856;1,015;0,761;0,697;0,856;0,951
29;1,018;0,894;0,956;0,894;1,081;0,977;0,894;0,914;0,977;0,977;0,977;0,956;1,018;0,997;0,935;1,018;0,852;0,873;1,018;1,081;1,184;1,205;1,205;1,101
30;0,961;0,998;1,035;0,961;0,961;0,924;0,924;0,961;1,035;0,888;0,998;1,072;1,072;0,998;1,072;1,035;1,072;0,924;0,961;1,035;0,998;0,924;1,035;1,146
31;1,003;0,982;0,962;0,88;0,962;0,777;0,921;0,88;0,962;1,023;1,105;0,962;1,412;0,982;1,084;1,105;1,003;0,941;0,982;0,962;1,064;1,043;1,043;0,962
32;0,961;0,998;1,035;0,961;0,961;0,924;0,924;0,961;1,035;0,888;0,998;1,072;1,072;0,998;1,072;1,035;1,072;0,924;0,961;1,035;0,998;0,924;1,035;1,146
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
